Symbol,Company,Market
AYEN.E,AYEN ENERJI,Z
AYGAZ.E,AYGAZ,Z
BAGFS.E,BAGFAS,Z
BARMA.E,BAREM AMBALAJ,Z
BASGZ.E,BASKENT DOGALGAZ GMYO,Z
BERA.E,BERA HOLDING,Z
BIMAS.E,BIM MAGAZALAR,Z
BIOEN.E,BIOTREND CEVRE VE ENERJI,Z
BLCYT.E,BILICI YATIRIM,Z
BOBET.E,BOGAZICI BETON SANAYI,Z
BRISA.E,BRISA,Z
BRSAN.E,BORUSAN MANNESMANN,Z
BRYAT.E,BORUSAN YAT. PAZ.,Z
BTCIM.E,BATI CIMENTO,Z
BUCIM.E,BURSA CIMENTO,Z
CANTE.E,CAN2 TERMIK,Z
CCOLA.E,COCA COLA ICECEK,Z
CEMTS.E,CEMTAS,Z
CIMSA.E,CIMSA,Z
CLEBI.E,CELEBI,Z
CONSE.E,CONSUS ENERJI,Z
DAPGM.E,DAP GAYRIMENKUL,Z
DARDL.E,DARDANEL,Z
DEVA.E,DEVA HOLDING,Z
DOAS.E,DOGUS OTOMOTIV,Z
DOHOL.E,DOGAN HOLDING,Z
ECILC.E,ECZACIBASI ILAC,Z
ECZYT.E,ECZACIBASI YATIRIM,Z
EGEEN.E,EGE ENDUSTRI,Z
EGGUB.E,EGE GUBRE,Z
EGPRO.E,EGE PROFIL,Z
EGSER.E,EGE SERAMIK,Z
EKGYO.E,EMLAK KONUT GMYO,Z
ELITE.E,ELITE NATUREL ORGANIK GIDA,Z
ENJSA.E,ENERJISA ENERJI,Z
ENKAI.E,ENKA INSAAT,Z
ERBOS.E,ERBOSAN,Z
ERCB.E,ERCIYAS CELIK BORU,Z
EREGL.E,EREGLI DEMIR CELIK,Z
ESEN.E,ESENBOGA ELEKTRIK,Z
EUREN.E,EUROPEN ENDUSTRI,Z
FROTO.E,FORD OTOSAN,Z
GARAN.E,GARANTI BANKASI,Z
GEDIK.E,GEDIK Y. MEN. DEG.,Z
GENIL.E,GEN ILAC,Z
GESAN.E,GIRISIM ELEKTRIK SANAYI,Z
GLCVY.E,GELECEK VARLIK YONETIMI,Z
GLYHO.E,GLOBAL YAT. HOLDING,Z
GOODY.E,GOOD-YEAR,Z
GOZDE.E,GOZDE GIRISIM,Z
GSDHO.E,GSD HOLDING,Z
GUBRF.E,GUBRE FABRIK.,Z
GWIND.E,GALATA WIND ENERJI,Z
HALKB.E,T. HALK BANKASI,Z
HEDEF.E,HEDEF HOLDING,Z
HEKTS.E,HEKTAS,Z
HEKTS.R,HEKTAS  - RHKP,Z
HLGYO.E,HALK GMYO,Z
HTTBT.E,HITIT BILGISAYAR,Z
INDES.E,INDEKS BILGISAYAR,Z
INFO.E,INFO YATIRIM,Z
INVEO.E,INVEO YATIRIM HOLDING,Z
INVES.E,INVESTCO HOLDING,Z
IPEKE.E,IPEK DOGAL ENERJI,Z
ISCTR.E,IS BANKASI (C),Z
ISDMR.E,ISKENDERUN DEMIR CELIK,Z
ISFIN.E,IS FIN.KIR.,Z
ISGYO.E,IS GMYO,Z
ISMEN.E,IS Y. MEN. DEG.,Z
ISSEN.E,ISBIR SENTETIK DOKUMA,Z
JANTS.E,JANTSA JANT SANAYI,Z
KAREL.E,KAREL ELEKTRONIK,Z
KARSN.E,KARSAN OTOMOTIV,Z
KARTN.E,KARTONSAN,Z
KCAER.E,KOCAER CELIK,Z
KCHOL.E,KOC HOLDING,Z
KERVT.E,KEREVITAS GIDA,Z
KLKIM.E,KALEKIM KIMYEVI MADDELER,Z
KLRHO.E,KILER HOLDING,Z
KMPUR.E,KIMTEKS POLIURETAN,Z
