TARIH;ISLEM  KODU;BULTEN ADI;PAZAR GRUBU;PAZAR;YAPISAL BAZDA PIYASA ALT BOLUMU;ENSTRUMAN GRUBU;ENSTRUMAN TIPI;ENSTRUMAN SINIFI;ISLEM YONTEMI;PIYASA YAPICI;BIST 100 ENDEKS;BIST 30 ENDEKS;BRUT TAKAS;OZSERMAYE HALI;GECICI DURDURMA;ONCEKI KAPANIS FIYATI;ACILIS FIYATI;ACILIS SEANSI FIYATI;EN DUSUK FIYAT;EN YUKSEK FIYAT;KAPANIS FIYATI;KAPANIS SEANSI FIYATI;DEGISIM (%);BEKLEYEN EN IYI ALIS;BEKLEYEN EN IYI SATIS;A.O.F;TOPLAM ISLEM HACMI;TOPLAM ISLEM ADEDI;TOPLAM SOZLESME SAYISI;REFERANS FIYAT;ACILIS SEANSI ISLEM HACMI;ACILIS SEANSI ISLEM MIKTARI;ACILIS SEANSI SOZLESME SAYISI;KAPANIS SEANSI ISLEM HACMI;KAPANIS SEANSI ISLEM MIKTARI;KAPANIS SEANSI SOZLESME SAYISI;KAPANIS FIYATINDAN ISLEMLER ISLEM HACMI;KAPANIS FIYATINDAN ISLEMLER ISLEM MIKTARI;KAPANIS FIYATINDAN ISLEMLER SOZLESME SAYISI;EN DUSUK ACIGA SATIS FIYATI;EN YUKSEK ACIGA SATIS FIYATI;ACIGA SATIS A.O.F;ACIGA SATIS ISLEM HACMI;ACIGA SATIS ISLEM ADEDI;ACIGA SATIS SOZLESME SAYISI;OZEL ISLEM BILDIRIMI EN DUSUK FIYAT;OZEL ISLEM BILDIRIMI EN YUKSEK FIYAT;OZEL ISLEM BILDIRIMI A.O.F.;OZEL ISLEM BILDIRIMI ISLEM HACMI;OZEL ISLEM BILDIRIMI ISLEM ADEDI;OZEL ISLEM BILDIRIMI SOZLESME SAYISI;ORTA NOKTA ISLEMLERI ISLEM HACMI;ORTA NOKTA ISLEMLERI ISLEM ADEDI;ORTA NOKTA ISLEMLERI SOZLESME SAYISI;ACIGA SATIS
TRADE DATE;INSTRUMENT SERIES CODE;INSTRUMENT NAME;MARKET SUB SEGMENT;MARKET SEGMENT;MARKET;INSTRUMENT GROUP;INSTRUMENT TYPE;INSTRUMENT CLASS;TRADING METHOD;MARKET MAKER;BIST 100 INDEX;BIST 30 INDEX;GROSS SETTLEMENT;CORPORATE ACTION;SUSPENDED;PREVIOUS LAST PRICE;OPENING PRICE;OPENING SESSION PRICE;LOWEST PRICE;HIGHEST PRICE;CLOSING PRICE;CLOSING SESSION PRICE;CHANGE TO PREVIOUS CLOSING (%);REMAINING BID;REMAINING ASK;VWAP;TOTAL TRADED VALUE;TOTAL TRADED VOLUME;TOTAL NUMBER OF CONTRACTS;REFERENCE PRICE;TRADED VALUE AT OPENING SESSION;TRADED VOLUME AT OPENING SESSION;NUMBER OF CONTRACTS AT OPENING SESSION;TRADED VALUE AT CLOSING SESSION;TRADED VOLUME AT CLOSING SESSION;NUMBER OF CONTRACTS AT CLOSING SESSION;TRADED VALUE OF TRADES AT CLOSING PRICE;TRADED VOLUME OF TRADES AT CLOSING PRICE;NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE;LOWEST SHORT SALE PRICE;HIGHEST SHORT SALE PRICE;SHORT SALE VWAP;TRADED VALUE OF SHORT SALE TRADES;TRADED VOLUME OF SHORT SALE TRADES;NUMBER OF CONTRACTS OF SHORT SALE TRADES;LOWEST TRADE REPORT PRICE;HIGHEST TRADE REPORT PRICE;TRADE REPORT VWAP;TRADE REPORT TRADED VALUE;TRADE REPORT TRADED VOLUME;NUMBER OF TRADE REPORTS;MIDPOINT TRADED VALUE;MIDPOINT TRADED VOLUME;MIDPOINT NUMBER OF CONTRACTS;SHORT SELL
2022-09-23;EDSPX.V;EREGLP3009220024.00GSI00000.2NA;;K;MSPOT;EPW;MSPOTEPW;MSPOTEPWEREGSI;PY;1;0;0;0;;0;0.01;0.01;0;0.01;0.01;0.01;0;0;0.01;0.02;0.01;1000;100000;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EDSPY.V;EREGLP3009220026.00GSI00000.2NA;;K;MSPOT;EPW;MSPOTEPW;MSPOTEPWEREGSI;PY;1;0;0;0;;0;0.04;0;0;0;0;0;0;0;0.02;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EDSPZ.V;EREGLP3110220022.00GSI00000.2NA;;K;MSPOT;EPW;MSPOTEPW;MSPOTEPWEREGSI;PY;1;0;0;0;;0;0.04;0.04;0;0.03;0.04;0.04;0;0;0.03;0.04;0.032;4231.41;133963;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EDSQA.V;EREGLP3110220025.00GSI00000.2NA;;K;MSPOT;EPW;MSPOTEPW;MSPOTEPWEREGSI;PY;1;0;0;0;;0;0.13;0;0;0;0;0;0;0;0.08;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EDSQB.V;EREGLP3110220028.00GSI00000.2NA;;K;MSPOT;EPW;MSPOTEPW;MSPOTEPWEREGSI;PY;1;0;0;0;;0;0.19;0.2;0;0.19;0.2;0.19;0;0;0.19;0.21;0.195;3.9;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIAQ.V;EKGYOC3110220005.00IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;0.33;0.29;0;0.24;0.34;0.25;0;-24.242;0.24;0.25;0.251;818471.41;3257260;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIAR.V;EKGYOC3110220005.50IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;0.3;0.3;0;0.22;0.32;0.23;0;-23.333;0.22;0.23;0.261;735200.28;2819377;852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOL.V;EKGYOC3009220002.80IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;2.17;0;0;0;0;0;0;0;2.36;2.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOM.V;EKGYOC3009220003.10IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;2.8;0;0;0;0;0;0;0;1.76;1.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGION.V;EKGYOC3009220003.40IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;1.33;0;0;0;0;0;0;0;1.17;1.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOO.V;EKGYOC3009220003.70IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;0.83;0.78;0;0.72;0.78;0.72;0;-13.253;0.65;0.72;0.76;11288.41;14857;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOP.V;EKGYOC3009220004.20IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;0.27;0.3;0;0.16;0.36;0.2;0;-25.926;0.17;0.2;0.276;569401.98;2061816;694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOQ.V;EKGYOC3110220003.10IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;1.98;2.2;0;1.9;2.2;1.9;0;-4.04;1.9;1.96;1.96;39016.84;19906;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOR.V;EKGYOC3110220003.40IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;1.42;0;0;0;0;0;0;0;1.38;1.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOS.V;EKGYOC3110220003.70IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;1;0;0;0;0;0;0;0;0.95;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOT.V;EKGYOC3110220004.00IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;0.81;0.84;0;0.65;0.89;0.7;0;-13.58;0.67;0.7;0.749;114866.47;153373;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIOU.V;EKGYOC3110220004.60IYM0000002NA;;K;MSPOT;ECW;MSPOTECW;MSPOTECWEKGIYM;PY;1;0;0;0;;0;0.49;0.52;0;0.36;0.52;0.36;0;-26.531;0.35;0.36;0.397;628472.57;1584713;397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-09-23;EGIWE.V;EKGYOP3009220003.10IYM0000002NA;;K;MSPOT;EPW;MSPOTEPW;MSPOTEPWEKGIYM;PY;1;0;0;0;;0;0.02;0.03;0;0.01;0.03;0.02;0;0;0.01;0.02;0.013;329.82;24791;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
