'Symbol','Company','Market'
'KONTR.IS','KONTROLMATIK TEKNOLOJI','Z'
'KONYA.IS','KONYA CIMENTO','Z'
'KORDS.IS','KORDSA TEKNIK TEKSTIL','Z'
'KOZAA.IS','KOZA MADENCILIK','Z'
'KOZAL.IS','KOZA ALTIN','Z'
'KRDMA.IS','KARDEMIR (A)','Z'
'KRDMB.IS','KARDEMIR (B)','Z'
'KRDMD.IS','KARDEMIR (D)','Z'
'KRPLS.IS','KOROPLAST TEMIZLIK AMBALAJ','Z'
'KRVGD.IS','KERVAN GIDA','Z'
'KZBGY.IS','KIZILBUK GYO','Z'
'LIDER.IS','LDR TURIZM','Z'
'LOGO.IS','LOGO YAZILIM','Z'
'MAGEN.IS','MARGUN ENERJI','Z'
'MAVI.IS','MAVI GIYIM','Z'
'MEDTR.IS','MEDITERA TIBBI MALZEME','Z'
'MGROS.IS','MIGROS TICARET','Z'
'MIATK.IS','MIA TEKNOLOJI','Z'
'MOBTL.IS','MOBILTEL ILETISIM','Z'
'MPARK.IS','MLP SAGLIK','Z'
'NATEN.IS','NATUREL ENERJI','Z'
'NETAS.IS','NETAS TELEKOM.','Z'
'NTHOL.IS','NET HOLDING','Z'
'NUGYO.IS','NUROL GMYO','Z'
'NUHCM.IS','NUH CIMENTO','Z'
'ODAS.IS','ODAS ELEKTRIK','Z'
'OTKAR.IS','OTOKAR','Z'
'OYAKC.IS','OYAK CIMENTO','Z'
'OYYAT.IS','OYAK YATIRIM MENKUL','Z'
'OZKGY.IS','OZAK GMYO','Z'
'PARSN.IS','PARSAN','Z'
'PENTA.IS','PENTA TEKNOLOJI URUNLERI DAGITIM','Z'
'PETKM.IS','PETKIM','Z'
'PGSUS.IS','PEGASUS','Z'
'PKENT.IS','PETROKENT TURIZM','Z'
'POLHO.IS','POLISAN HOLDING','Z'
'PRKAB.IS','TURK PRYSMIAN KABLO','Z'
'PSGYO.IS','PASIFIK GMYO','Z'
'QUAGR.IS','QUA GRANITE HAYAL YAPI','Z'
'RUBNS.IS','RUBENIS TEKSTIL','Z'
'RYGYO.IS','REYSAS GMYO','Z'
'SAHOL.IS','SABANCI HOLDING','Z'
'SARKY.IS','SARKUYSAN','Z'
'SASA.IS','SASA POLYESTER','Z'
'SELEC.IS','SELCUK ECZA DEPOSU','Z'
'SISE.IS','SISE CAM','Z'
'SKBNK.IS','SEKERBANK','Z'
'SMRTG.IS','SMART GUNES ENERJISI TEK.','Z'
'SNGYO.IS','SINPAS GMYO','Z'
'SOKM.IS','SOK MARKETLER TICARET','Z'
'SUNTK.IS','SUN TEKSTIL','Z'
'SUWEN.IS','SUWEN TEKSTIL','Z'
'TATGD.IS','TAT GIDA','Z'
'TAVHL.IS','TAV HAVALIMANLARI','Z'
'TCELL.IS','TURKCELL','Z'
'TEZOL.IS','EUROPAP TEZOL KAGIT','Z'
'THYAO.IS','TURK HAVA YOLLARI','Z'
'TIRE.IS','MONDI TURKEY','Z'
'TKFEN.IS','TEKFEN HOLDING','Z'
'TKNSA.IS','TEKNOSA IC VE DIS TICARET','Z'
'TMSN.IS','TUMOSAN MOTOR VE TRAKTOR','Z'
'TOASO.IS','TOFAS OTO. FAB.','Z'
'TRCAS.IS','TURCAS PETROL','Z'
'TRGYO.IS','TORUNLAR GMYO','Z'
'TRILC.IS','TURK ILAC SERUM','Z'
'TSGYO.IS','TSKB GMYO','Z'
'TSKB.IS','T.S.K.B.','Z'
'TSPOR.IS','TRABZONSPOR SPORTIF','Z'
'TTKOM.IS','TURK TELEKOM','Z'
'TTRAK.IS','TURK TRAKTOR','Z'
'TUKAS.IS','TUKAS','Z'
'TUPRS.IS','TUPRAS','Z'
'TUREX.IS','TUREKS TURIZM TASIMACILIK','Z'
'TURSG.IS','TURKIYE SIGORTA','Z'
'ULKER.IS','ULKER BISKUVI','Z'
'VAKBN.IS','VAKIFLAR BANKASI','Z'
'VAKKO.IS','VAKKO TEKSTIL','Z'
'VERUS.IS','VERUSA HOLDING','Z'
'VESBE.IS','VESTEL BEYAZ ESYA','Z'
'VESTL.IS','VESTEL','Z'
'YATAS.IS','YATAS','Z'
'YGGYO.IS','YENI GIMAT GMYO','Z'
'YKBNK.IS','YAPI VE KREDI BANK.','Z'
'YYLGD.IS','YAYLA GIDA','Z'
'ZRGYO.IS','ZIRAAT GMYO','Z'
